# t    x    y    z    z_dot    theta    theta_dot    Energia
 17.200000       0.109241      -0.385028       0.100225       0.403965       0.276458      -1.441652      -0.302682
 17.300000       0.052241      -0.433179       0.136317       0.272286       0.120020      -1.638947      -0.302761
 17.400000      -0.020133      -0.446448       0.146902      -0.071217      -0.045066      -1.643795      -0.302828
 17.500000      -0.086379      -0.414720       0.123620      -0.360601      -0.205346      -1.530787      -0.302903
 17.600000      -0.128859      -0.361930       0.084185      -0.379876      -0.342039      -1.131118      -0.302961
 17.700000      -0.143782      -0.326802       0.057033      -0.134843      -0.414478      -0.244958      -0.303037
 17.800000      -0.135251      -0.334675       0.060971       0.209006      -0.384059       0.825594      -0.303104
 17.900000      -0.103626      -0.381050       0.094889       0.427287      -0.265527       1.453976      -0.303179
 18.000000      -0.047994      -0.432738       0.135391       0.328495      -0.110455       1.597363      -0.303282
 18.100000       0.021605      -0.450194       0.150712      -0.040718       0.047953       1.556836      -0.303369
 18.200000       0.084469      -0.419255       0.127679      -0.385296       0.198813       1.437164      -0.303467
 18.300000       0.123645      -0.363579       0.084029      -0.430925       0.327808       1.075830      -0.303548
 18.400000       0.136472      -0.325375       0.052836      -0.157670       0.397144       0.235173      -0.303647
 18.500000       0.128240      -0.333274       0.057096       0.236706       0.367324      -0.802380      -0.303736
 18.600000       0.099138      -0.382518       0.095156       0.474187       0.253593      -1.381227      -0.303839
 18.700000       0.047063      -0.436529       0.139059       0.343747       0.107397      -1.499562      -0.303966
 18.800000      -0.018947      -0.453019       0.153415      -0.072736      -0.041799      -1.475948      -0.304074
 18.900000      -0.079061      -0.418727       0.126125      -0.430353      -0.186616      -1.399351      -0.304194
 19.000000      -0.117273      -0.360872       0.079449      -0.441075      -0.314206      -1.082562      -0.304290
 19.100000      -0.131481      -0.324086       0.049741      -0.120758      -0.385410      -0.263599      -0.304403
 19.200000      -0.126257      -0.335696       0.058654       0.284490      -0.359738       0.745418      -0.304496
 19.300000      -0.100069      -0.387107       0.099832       0.483430      -0.252966       1.305842      -0.304604
 19.400000      -0.049885      -0.439200       0.142024       0.303924      -0.113098       1.454135      -0.304725
 19.500000       0.015359      -0.451275       0.151536      -0.121134       0.034021       1.479690      -0.304831
 19.600000       0.075967      -0.414286       0.121193      -0.438120       0.181353       1.441464      -0.304947
 19.700000       0.116109      -0.358006       0.076364      -0.400276       0.313619       1.127473      -0.305033
 19.800000       0.133104      -0.325387       0.051558      -0.071978       0.388295       0.289853      -0.305135
 19.900000       0.129885      -0.339643       0.063631       0.294039       0.365257      -0.718413      -0.305210
 20.000000       0.103773      -0.389596       0.103180       0.444798       0.260317      -1.301826      -0.305297
 20.100000       0.052156      -0.437540       0.140637       0.256320       0.118642      -1.493546      -0.305392
 20.200000      -0.015173      -0.446838       0.147095      -0.129853      -0.033944      -1.544545      -0.305476
 20.300000      -0.078017      -0.411064       0.118402      -0.400180      -0.187561      -1.495829      -0.305567
 20.400000      -0.120091      -0.358549       0.078126      -0.355496      -0.323192      -1.138730      -0.305629
 20.500000      -0.137776      -0.328368       0.056101      -0.065233      -0.397270      -0.272108      -0.305710
 20.600000      -0.133216      -0.341455       0.066522       0.257916      -0.371979       0.747123      -0.305767
 20.700000      -0.104407      -0.387993       0.101795       0.403091      -0.262868       1.356562      -0.305831
 20.800000      -0.050152      -0.433824       0.136714       0.251077      -0.115092       1.555340      -0.305908
 20.900000       0.018919      -0.444447       0.144850      -0.094905       0.042541       1.578986      -0.305976
 21.000000       0.082321      -0.412011       0.120155      -0.362595       0.197205       1.481552      -0.306049
 21.100000       0.123504      -0.361461       0.081978      -0.354196       0.329244       1.086665      -0.306104
 21.200000       0.138733      -0.330122       0.058089      -0.099603       0.397839       0.218364      -0.306177
 21.300000       0.131004      -0.340447       0.064782       0.224463       0.367334      -0.798408      -0.306234
 21.400000       0.099886      -0.385596       0.098324       0.404337       0.253470      -1.395873      -0.306301
 21.500000       0.045029      -0.432809       0.135145       0.283579       0.103665      -1.553799      -0.306387
 21.600000      -0.022957      -0.446015       0.146606      -0.067147      -0.051426      -1.531419      -0.306461
 21.700000      -0.083924      -0.414634       0.123043      -0.369314      -0.199708      -1.406290      -0.306543
 21.800000      -0.121880      -0.362692       0.082623      -0.387561      -0.324186      -1.015512      -0.306609
 21.900000      -0.134111      -0.329346       0.055605      -0.122839      -0.386702      -0.168306      -0.306696
 22.000000      -0.124844      -0.339514       0.061740       0.237330      -0.352369       0.821800      -0.306769
 22.100000      -0.094063      -0.386696       0.097972       0.439765      -0.238613       1.368474      -0.306856
 22.200000      -0.041029      -0.435850       0.137777       0.302203      -0.093860       1.484873      -0.306962
 22.300000       0.024082      -0.448520       0.149166      -0.086846       0.053640       1.453585      -0.307054
 22.400000       0.081775      -0.414382       0.122374      -0.408243       0.194839       1.345265      -0.307156
 22.500000       0.117184      -0.360252       0.078832      -0.405502       0.314488       0.978851      -0.307238
 22.600000       0.128681      -0.327781       0.052136      -0.098835       0.374096       0.147007      -0.307340
 22.700000       0.120484      -0.341448       0.062081       0.283030       0.339224      -0.806254      -0.307423
 22.800000       0.091447      -0.391471       0.102010       0.461426       0.229483      -1.308330      -0.307525
 22.900000       0.040176      -0.439688       0.141519       0.275397       0.091122      -1.424046      -0.307637
 23.000000      -0.023172      -0.448085       0.148683      -0.137162      -0.051668      -1.422217      -0.307736
 23.100000      -0.079475      -0.410178       0.117807      -0.432997      -0.191385      -1.344352      -0.307844
 23.200000      -0.114698      -0.356307       0.074313      -0.380429      -0.311433      -0.982450      -0.307927
 23.300000      -0.127454      -0.327913       0.051812      -0.046895      -0.370711      -0.139590      -0.308030
 23.400000      -0.120775      -0.345809       0.066293       0.314745      -0.336011       0.791777      -0.308106
 23.500000      -0.092186      -0.396330       0.106910       0.442843      -0.228534       1.283790      -0.308201
 23.600000      -0.040423      -0.440724       0.142574       0.223891      -0.091463       1.425766      -0.308299
 23.700000       0.023618      -0.444412       0.145039      -0.172100       0.053094       1.453337      -0.308389
 23.800000       0.080626      -0.405130       0.113075      -0.419015       0.196446       1.379751      -0.308483
 23.900000       0.116796      -0.354180       0.072941      -0.333670       0.318535       0.983790      -0.308551
 24.000000       0.130339      -0.330030       0.054835      -0.012417       0.376128       0.110506      -0.308640
 24.100000       0.123165      -0.349703       0.070758       0.307847       0.338631      -0.816907      -0.308700
 24.200000       0.092569      -0.398227       0.108844       0.403987       0.228398      -1.316623      -0.308777
 24.300000       0.038392      -0.438932       0.140607       0.191082       0.087244      -1.472918      -0.308855
 24.400000      -0.027364      -0.440659       0.141508      -0.168940      -0.062018      -1.495851      -0.308929
 24.500000      -0.085036      -0.402652       0.111534      -0.386881      -0.208132      -1.388078      -0.309003
 24.600000      -0.120853      -0.354576       0.074606      -0.307253      -0.328489      -0.942262      -0.309059
 24.700000      -0.132847      -0.332118       0.057702      -0.015587      -0.380505      -0.046675      -0.309134
 24.800000      -0.122936      -0.351179       0.072075       0.283703      -0.336733       0.876972      -0.309185
 24.900000      -0.089342      -0.397910       0.107816       0.385206      -0.220865       1.367734      -0.309252
